id,name,da_ban,sku,price,list_price,discount,discount_rate,review_count,category
275316345,"AI 5.0 – Nhanh Hơn, Dễ Hơn, Rẻ Hơn, Chính Xác Hơn",561.0,9285695342416,135800,209000,73200,35,10,nha-sach-tiki
274546151,Thư cho em,2551.0,4298763965948,105000,140000,35000,25,152,nha-sach-tiki
272188850,Soul Eater,271.0,8229005083492,82000,95000,13000,14,27,nha-sach-tiki
263500714,Dạy Con Làm Giàu (Tập 2) - Sử Dụng Đồng Vốn,10706.0,2520600792808,91000,145000,54000,37,1460,nha-sach-tiki
219148748,Chú bé mang Pyjama sọc,1485.0,1267598113722,55100,79000,23900,30,139,nha-sach-tiki
207852930,LỊCH SỬ VIỆT NAM BẰNG TRANH - BOXSET 53 TẬP,326.0,3742119440380,1213000,1855000,642000,35,28,nha-sach-tiki
206837303,Chữa Lành Những Sang Chấn Tuổi Thơ,1135.0,1930069705115,150000,220000,70000,32,68,nha-sach-tiki
205942263,Tận Hưởng Hành Trình Nuôi Con Sữa Mẹ,1896.0,6651532097082,95400,132000,36600,28,60,nha-sach-tiki
201845361,"Súng, Vi Trùng Và Thép (Tái bản)",1329.0,5792133950074,241000,339000,98000,29,105,nha-sach-tiki
192949035,Lược Sử Nước Việt Bằng Tranh (Tái Bản 2022),151.0,4253282836927,112000,140000,28000,20,10,nha-sach-tiki
187827445,Lược Sử Thời Gian,0.0,7157203119782,115000,115000,0,0,0,nha-sach-tiki
171289224,Personal Best American B1+ Intermediate Pack A,81.0,4568355220378,236000,236000,0,0,1,nha-sach-tiki
168662171,Vừa Nhắm Mắt Vừa Mở Cửa Số,2574.0,9634570108901,55600,75000,19400,26,181,nha-sach-tiki
154245455,Combo 2 Cuốn Nghiền Từ Vựng Tiếng Anh: Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng,2501.0,4022695906765,180000,270000,90000,33,291,nha-sach-tiki
82912488,Từ Tốt Đến Vĩ Đại (Tái bản 2021),11323.0,3580673917869,84000,130000,46000,35,1275,nha-sach-tiki
73207240,Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,137.0,8787420605399,148500,165000,16500,10,38,nha-sach-tiki
69644748,Thiền Sư Và Em Bé 5 Tuổi,582.0,7944454223475,92400,120000,27600,23,69,nha-sach-tiki
66619715,Sách Vị Tu Sĩ Bán Chiếc Ferrari (Tái Bản),855.0,5805728029969,78400,98000,19600,20,100,nha-sach-tiki
